Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.32,-0.84,0.01,-0.02,0.89,13010440
-1.32,-0.84,0.01,-0.02,0.89,13014397
-1.31,-0.84,0.01,-0.02,0.89,13018348
-1.31,-0.84,0.01,-0.02,0.89,13022296
-1.31,-0.85,0.01,-0.02,0.89,13026251
-1.31,-0.85,0.01,-0.02,0.89,13030195
-1.31,-0.85,0.01,-0.02,0.89,13034159
-1.31,-0.85,0.01,-0.02,0.89,13038112
-1.31,-0.85,0.01,-0.02,0.89,13042062
-1.31,-0.85,0.01,-0.02,0.89,13046020
-1.31,-0.85,0.01,-0.02,0.89,13049966
-1.31,-0.85,0.01,-0.02,0.89,13053928
-1.31,-0.85,0.01,-0.02,0.89,13057876
-1.31,-0.85,0.01,-0.02,0.89,13061830
-1.31,-0.85,0.01,-0.02,0.89,13065793
-1.31,-0.85,0.01,-0.02,0.89,13069745
-1.31,-0.85,0.01,-0.02,0.89,13073706
-1.31,-0.85,0.01,-0.02,0.89,13077655
-1.31,-0.85,0.01,-0.02,0.89,13081608
-1.31,-0.85,0.01,-0.02,0.89,13085564
-1.31,-0.85,0.01,-0.02,0.89,13089511
-1.31,-0.85,0.01,-0.02,0.89,13093470
-1.31,-0.85,0.01,-0.02,0.89,13097414
-1.31,-0.85,0.01,-0.02,0.89,13101363
-1.31,-0.85,0.01,-0.02,0.89,13105314
-1.31,-0.85,0.01,-0.02,0.89,13109264
-1.31,-0.84,0.01,-0.02,0.89,13113223
-1.31,-0.84,0.01,-0.02,0.89,13117168
-1.31,-0.84,0.01,-0.02,0.89,13121121
-1.31,-0.84,0.01,-0.02,0.89,13125070
-1.31,-0.84,0.01,-0.02,0.89,13129023
-1.31,-0.84,0.01,-0.02,0.89,13132982
-1.31,-0.84,0.01,-0.02,0.89,13136935
-1.31,-0.84,0.01,-0.02,0.89,13140894
-1.31,-0.84,0.01,-0.02,0.89,13144843
-1.31,-0.84,0.01,-0.02,0.89,13148794
-1.31,-0.84,0.01,-0.02,0.89,13152755
-1.31,-0.85,0.01,-0.02,0.89,13156701
-1.31,-0.85,0.01,-0.02,0.89,13160659
-1.31,-0.85,0.01,-0.02,0.89,13164604
-1.31,-0.85,0.02,-0.02,0.89,13168555
-1.31,-0.85,0.01,-0.02,0.89,13172508
-1.31,-0.85,0.01,-0.02,0.89,13176452
-1.31,-0.85,0.01,-0.02,0.89,13180415
-1.32,-0.85,0.01,-0.02,0.89,13184358
-1.32,-0.85,0.01,-0.02,0.89,13188310
-1.32,-0.85,0.01,-0.02,0.89,13192267
-1.32,-0.85,0.01,-0.02,0.89,13196212
-1.32,-0.85,0.01,-0.02,0.89,13200175
-1.32,-0.85,0.01,-0.02,0.89,13204125
-1.32,-0.85,0.01,-0.02,0.89,13208085
-1.32,-0.84,0.01,-0.02,0.89,13212035
-1.32,-0.84,0.01,-0.02,0.89,13215980
-1.32,-0.84,0.01,-0.02,0.89,13219934
-1.32,-0.84,0.01,-0.02,0.89,13223879
-1.31,-0.84,0.01,-0.02,0.89,13227828
-1.31,-0.84,0.01,-0.02,0.89,13231775
-1.31,-0.84,0.01,-0.02,0.89,13235721
-1.31,-0.84,0.01,-0.02,0.89,13239678
-1.31,-0.84,0.01,-0.02,0.89,13243622
-1.31,-0.84,0.01,-0.02,0.89,13247579
-1.31,-0.84,0.01,-0.02,0.89,13251525
-1.31,-0.84,0.01,-0.02,0.89,13255480
-1.31,-0.84,0.01,-0.02,0.89,13259440
-1.31,-0.84,0.01,-0.02,0.89,13263385
-1.31,-0.84,0.01,-0.02,0.89,13267338
-1.31,-0.84,0.01,-0.02,0.89,13271286
-1.31,-0.84,0.01,-0.02,0.89,13275240
-1.31,-0.84,0.01,-0.02,0.89,13279196
-1.31,-0.84,0.01,-0.02,0.89,13283149
-1.31,-0.84,0.01,-0.02,0.89,13287110
-1.31,-0.84,0.01,-0.02,0.89,13291061
-1.31,-0.84,0.01,-0.02,0.89,13295015
-1.31,-0.84,0.01,-0.02,0.89,13298970
-1.31,-0.84,0.01,-0.02,0.89,13302911
-1.31,-0.85,0.01,-0.02,0.89,13306873
-1.31,-0.85,0.01,-0.02,0.89,13310815
-1.31,-0.85,0.01,-0.02,0.89,13314766
-1.31,-0.85,0.01,-0.02,0.89,13318727
-1.31,-0.85,0.01,-0.02,0.89,13322671
-1.31,-0.85,0.01,-0.02,0.89,13326632
-1.31,-0.85,0.01,-0.02,0.89,13330578
-1.31,-0.84,0.01,-0.02,0.89,13334526
-1.31,-0.84,0.01,-0.02,0.89,13338484
-1.31,-0.84,0.01,-0.02,0.89,13342426
-1.31,-0.84,0.01,-0.02,0.89,13346384
-1.31,-0.84,0.01,-0.02,0.89,13350327
-1.31,-0.84,0.01,-0.02,0.89,13354281
-1.31,-0.84,0.01,-0.02,0.89,13358236
-1.31,-0.84,0.01,-0.02,0.89,13362191
